Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
HAW,"Shiels, Liam",MID,11.62,4.43,9.52,0.24,0.19,0,4.71,0.76,1.48,
HAW,"Worpel, James",MID,11.6,2.7,9.7,0.5,0.4,0,4.1,0.75,1.35,
HAW,"Hardwick, Blake",DEF,15.6,5.4,5.3,0,0.1,0,2.05,1.1,0.5,
HAW,"Scrimshaw, Jack",DEF,12.45,6.35,8.15,0.2,0.1,0,1.45,0.4,0.15,
HAW,"Phillips, Tom",MID,10.95,4.23,7.5,0.59,0.23,0,2.14,1.05,0.27,
HAW,"Howe, Daniel",MID,12.45,5.45,6.2,0.4,0.25,0,2,0.9,0.85,
HAW,"Wingard, Chad",FWD,12.44,3.63,9.88,0.75,0.69,0,3.81,1.19,0.5,
HAW,"Frost, Sam",DEF,8.82,5.09,6.32,0,0,0.14,2,0.32,1.41,
HAW,"Jiath, Changkuoth",DEF,10.75,5.81,9.5,0,0.13,0,1.63,1.13,1.38,
HAW,"Moore, Dylan",FWD,8,3.8,7.35,1.35,0.55,0,2.9,1.35,0.45,
HAW,"Impey, Jarman",FWD,13.92,5.38,8.23,0.15,0,0,2.54,1.23,0.31,
HAW,"McEvoy, Ben",RUC,6.14,5.05,6.36,0.55,0.36,16.82,3.55,1.27,0.64,
HAW,"Breust, Luke",FWD,6.37,2.47,6.16,1.74,0.58,0,3.26,0.63,0.68,
HAW,"Morrison, Harry",FWD,8.27,4.47,7.13,0.47,0.13,0,2.27,0.47,0.93,
HAW,"OBrien, Tim",FWD,7.74,4.74,3.79,0.63,0.26,0.63,1.68,0.95,0.84,
HAW,"Hartigan, Kyle",DEF,5.58,3.47,5,0,0,0.11,0.84,0.79,1.47,
HAW,"Bramble, Lachlan",DEF,11.9,4.4,6.4,0.1,0.3,0,2,0.7,0.3,
HAW,"Ceglar, Jonathon",RUC,5.58,4.42,9.42,0.17,0.17,20.75,2.17,0.83,1.33,
HAW,"Koschitzke, Jacob",FWD,4.9,3.85,3.25,1.35,0.95,0.05,1.85,0.65,0.35,
HAW,"Lewis, Mitch",FWD,6.5,4.79,3.64,1.57,0.64,2.07,2,0.93,0.71,
HAW,"Day, Will",DEF,11,5,8.8,0,0,0,1.6,1,1.4,
HAW,"Brockman, Tyler",FWD,4.73,2.45,4.18,0.91,0.36,0,2.09,0.18,0.55,
HAW,"Greaves, Damon",FWD,6.86,2.29,3.71,0.14,0,0,1.71,0.86,0.29,
HAW,"Newcombe, Jai",MID,4.57,2.43,4.29,0.14,0.14,0,5.57,0.57,1.14,
HAW,"Grainger-Barras, Denver",DEF,5,3.4,2.4,0,0,0,2.2,0.6,0.4,
HAW,"Jeka, Emerson",FWD,3.25,1.75,3.25,0.5,0.5,0,1,0.25,0,
HAW,"Maginness, Finn",MID,2.5,0.5,5,0,0,0,2.5,0.5,0.5,
HAW,"Downie, Connor",MID,3,1,3,0,0,0,0,0,0,
HAW,"Gunston, Jack",FWD,6,1,1,0,0,0,2,0,0,
MEL,"Oliver, Clayton",MID,14.32,3.56,17.24,0.44,0.72,0,5.44,1.72,1.84,
MEL,"Petracca, Christian",MID,16.36,5.04,12.84,1.16,0.76,0,4.12,0.92,1.16,
MEL,"Salem, Christian",DEF,16.88,6.04,8.46,0.13,0.08,0,2.42,0.58,0.75,
MEL,"Langdon, Ed",MID,13.13,5.42,8.71,0.54,0.38,0,1.88,0.63,0.33,
MEL,"Gawn, Max",RUC,12.64,5.24,5.88,0.64,0.68,32.16,2.84,1.32,1.36,
MEL,"Brayshaw, Angus",MID,10.96,4.2,7.44,0.12,0.28,0,2.44,0.48,0.76,
MEL,"Neal-Bullen, Alex",FWD,10.2,3.2,6.12,0.6,0.44,0,4.44,1.2,0.76,
MEL,"May, Steven",DEF,14.74,5.43,2.65,0,0.09,0,1.04,0.61,0.74,
MEL,"Lever, Jake",DEF,9.68,5.44,5.88,0,0.04,0,1.76,0.92,0.92,
MEL,"Rivers, Trent",DEF,9.64,4.04,5.48,0.04,0.04,0,1.56,0.28,0.56,
MEL,"Harmes, James",MID,8.44,2.89,12.33,0.39,0.56,0,5.22,1.11,1.33,
MEL,"Jordon, James",MID,7.12,2.56,7.4,0.24,0.24,0,3.88,0.72,0.36,
MEL,"Viney, Jack",MID,10.8,2.47,11.53,0.27,0.47,0,7.07,2,1.2,
MEL,"McDonald, Tom",FWD,9.43,5.3,4.57,1.43,0.96,1.3,2.22,0.96,1.13,
MEL,"Jackson, Luke",RUC,4.46,3,8.38,0.67,0.38,10.63,2,1,0.46,
MEL,"Pickett, Kysaiah",FWD,7.72,2.36,4.12,1.6,1.12,0,3.48,0.8,0.84,
MEL,"Spargo, Charlie",FWD,7.8,3.36,3.68,0.72,0.64,0,2.36,1.04,0.64,
MEL,"Hunt, Jayden",DEF,8.95,3.2,4.75,0.1,0.15,0,2.45,0.8,0.95,
MEL,"Fritsch, Bayley",FWD,7.92,4.83,2.25,2.46,1,0,1.96,0.75,0.88,
MEL,"Hibberd, Michael",DEF,7.47,3.41,5.88,0,0,0,2.06,0.94,0.59,
MEL,"Sparrow, Tom",FWD,4.86,1.9,4,0.33,0.19,0,2.71,0.62,0.71,
MEL,"Petty, Harry",DEF,5.63,3.58,2.84,0,0,0,1.63,0.58,0.89,
MEL,"Brown, Ben",FWD,7.85,5.31,1.85,1.92,1,1,1.54,0.85,0.46,
MEL,"Bowey, Jake",DEF,8.71,3.29,8.29,0,0,0,0.71,0.14,1,
MEL,"Melksham, Jake",FWD,4.83,2.08,4.08,0.67,0.33,0,1.5,0.25,0.83,
MEL,"Tomlinson, Adam",DEF,8.71,5.43,3.29,0,0,0,1.29,0.29,0.86,
MEL,"Weideman, Sam",FWD,3.8,3.2,4.2,0.6,0.8,0.2,1.8,0.6,0.2,
MEL,"Baker, Oskar",MID,4,1.67,1,0,0,0,1.33,0,0,
MEL,"Chandler, Kade",FWD,0.2,0,0.6,0,0,0,0.4,0,0.4,
NM,"Simpkin, Jy",MID,14.77,4.36,12.14,0.09,0.23,0,3.82,1.55,1.27,
NM,"Hall, Aaron",DEF,21.15,7.5,6.75,0.1,0.3,0,2.25,0.4,0.2,
NM,"Ziebell, Jack",DEF,20.29,7.38,4.95,0.1,0,0,1.9,0.81,0.67,
NM,"Davies-Uniacke, Luke",MID,11.45,4.85,10.55,0.3,0.6,0,3.2,0.55,1.35,
NM,"Cunnington, Ben",MID,13.53,4.13,13.27,0.6,0.53,0,4.93,2,2.07,
NM,"Thomas, Tarryn",FWD,11.1,4.57,7.1,1.14,0.81,0,3.43,1.38,0.9,
NM,"Stephenson, Jaidyn",FWD,13.11,5.74,6.26,0.89,1,0,2.53,0.84,0.53,
NM,"Goldstein, Todd",RUC,7.27,3.64,7,0.55,0.18,29.77,1.91,1.59,1.14,
NM,"Turner, Kayne",DEF,6.09,3.14,5.73,0.09,0.18,0,2.68,1.59,0.68,
NM,"Walker, Josh",DEF,7.29,5.43,4.9,0.14,0.05,0.71,1.05,0.48,0.43,
NM,"Dumont, Trent",MID,12,5.36,5.86,0,0,0,1.86,0.36,0.43,
NM,"Taylor, Curtis",FWD,8.11,4.16,5.05,0.37,0.26,0,2.11,0.68,0.68,
NM,"Zurhaar, Cameron",FWD,8.15,3.75,3.6,1.55,1.15,0,2.9,0.95,1.35,
NM,"Mahony, Jack",FWD,6.11,2.79,5.47,0.47,0.21,0,3.21,0.74,0.68,
NM,"Powell, Tom",FWD,8.23,3.62,8.46,0.31,0.15,0,3.69,0.54,0.54,
NM,"Scott, Bailey",FWD,6.53,3.06,6.24,0.47,0.29,0,1.88,0.29,0.41,
NM,"Larkey, Nick",FWD,5.59,3.82,3.95,1.91,0.68,1.36,1.23,1.45,0.55,
NM,"McKay, Ben",DEF,4.5,4.32,5.05,0,0,0,1.41,0.64,0.77,
NM,"McDonald, Luke",DEF,10.36,5.18,6.82,0,0.18,0,2.55,0.18,0.91,
NM,"Young, Lachie",DEF,7.2,3.87,4,0,0.13,0,1.53,0.87,1.07,
NM,"Phillips, Will",FWD,4.44,1.94,5.06,0.19,0.25,0,2.06,0.44,0.31,
NM,"Tarrant, Robbie",DEF,10.4,6.7,4.1,0,0,0,1,0.7,1.4,
NM,"Anderson, Jed",FWD,9.29,3.14,9.57,0.57,0.14,0,5.71,0.71,1.29,
NM,"Bonar, Aiden",DEF,7.2,3.6,3.5,0,0,0,1.6,0.4,0.8,
NM,"Polec, Jared",MID,9.6,3.4,3,0,0.4,0,2,0.6,1,
PORT,"Wines, Ollie",MID,15.08,4.17,17.29,0.42,0.63,0,4.38,1.38,0.79,
PORT,"Boak, Travis",MID,13.26,2.91,14.57,0.35,0.78,0,4.78,1.61,1.09,
PORT,"Amon, Karl",MID,15.42,5.88,8.17,0.46,0.71,0,4.08,0.67,0.96,
PORT,"Houston, Dan",DEF,13.61,4.78,7.3,0.3,0.26,0,2.43,0.43,0.65,
