Player,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Haynes, Nick",253,156,120,1,1,,17,14,13,
"Green, Tom",139,55,221,7,6,1,53,19,15,
"Greene, Toby",232,78,77,45,41,2,39,33,29,
"Himmelberg, Harry",194,108,107,36,19,5,46,22,21,
"Idun, Connor",173,124,114,,,,41,15,11,
"Taylor, Sam",164,116,109,,,,39,22,8,
"Lloyd, Daniel",140,68,63,20,8,,45,8,19,
"OHalloran, Xavier",124,42,56,5,3,,22,10,8,
"Daniels, Brent",91,22,86,2,4,,35,12,4,
"Buckley, Jack",112,68,57,,2,1,34,7,17,
"de Boer, Matt",66,34,94,2,2,,40,5,7,
"Hill, Bobby",113,33,41,14,12,,48,10,4,
"Flynn, Matt",55,46,87,5,2,222,30,16,9,
"Mumford, Shane",44,19,98,4,,364,68,27,26,
"Finlayson, Jeremy",106,40,35,23,9,24,15,14,11,
"Kennedy, Adam",72,35,59,1,1,,20,5,5,
"Reid, Sam",64,25,58,4,4,,35,7,15,
"Hogan, Jesse",74,57,41,20,9,,11,6,7,
"Davis, Phil",64,47,47,,,,16,10,14,
"Coniglio, Stephen",61,14,42,1,4,,27,7,3,
"Bruhn, Tanner",56,16,45,4,4,,33,8,5,
"Sproule, Zach",55,27,31,11,5,14,26,9,15,
"Riccardi, Jake",44,24,37,2,1,2,3,2,1,
"Keeffe, Lachlan",57,37,22,1,,19,16,4,5,
"Buntine, Matt",55,21,23,1,1,,17,6,9,
"Briggs, Kieren",23,9,26,2,,85,22,8,6,
"Peatling, James",27,15,15,,,,6,4,4,
"Stein, Jake",29,20,11,,,,7,2,6,
"Stone, Conor",21,8,14,3,1,,7,1,,
"Shipley, Nick",8,6,6,,,,2,,1,
"Brown, Callum",4,2,2,2,,,1,,1,
,5202,2175,3494,279,190,744,1435,470,447,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Mitchell, Tom",321,98,433,8,5,,105,24,29,
"OMeara, Jaeger",232,74,241,5,9,,91,16,31,
"Shiels, Liam",244,93,200,5,4,,99,16,31,
"Worpel, James",232,54,194,10,8,,82,15,27,
"Hardwick, Blake",312,108,106,,2,,41,22,10,
"Scrimshaw, Jack",249,127,163,4,2,,29,8,3,
"Phillips, Tom",241,93,165,13,5,,47,23,6,
"Howe, Daniel",249,109,124,8,5,,40,18,17,
"Wingard, Chad",199,58,158,12,11,,61,19,8,
"Frost, Sam",194,112,139,,,3,44,7,31,
"Jiath, Changkuoth",172,93,152,,2,,26,18,22,
"Moore, Dylan",160,76,147,27,11,,58,27,9,
"Impey, Jarman",181,70,107,2,,,33,16,4,
"McEvoy, Ben",135,111,140,12,8,370,78,28,14,
"Breust, Luke",121,47,117,33,11,,62,12,13,
"Morrison, Harry",124,67,107,7,2,,34,7,14,
"OBrien, Tim",147,90,72,12,5,12,32,18,16,
"Burgoyne, Shaun",133,46,84,1,1,,31,5,5,
"Hartigan, Kyle",106,66,95,,,2,16,15,28,
"Cousins, James",101,27,86,2,5,,37,8,6,
"Bramble, Lachlan",119,44,64,1,3,,20,7,3,
"Ceglar, Jonathon",67,53,113,2,2,249,26,10,16,
"Koschitzke, Jacob",98,77,65,27,19,1,37,13,7,
"Lewis, Mitch",91,67,51,22,9,29,28,13,10,
"Hanrahan, Oliver",71,31,70,8,6,,13,7,4,
"Nash, Conor",51,26,59,2,1,,23,3,10,
"Day, Will",55,25,44,,,,8,5,7,
"Brockman, Tyler",52,27,46,10,4,,23,2,6,
"Greaves, Damon",48,16,26,1,,,12,6,2,
"Newcombe, Jai",32,17,30,1,1,,39,4,8,
"Hartley, Michael",39,14,17,1,1,,5,1,3,
"Reeves, Ned",19,8,29,1,,131,20,5,5,
"Grainger-Barras, Denver",25,17,12,,,,11,3,2,
"Jeka, Emerson",13,7,13,2,2,,4,1,,
"Maginness, Finn",5,1,10,,,,5,1,1,
"Downie, Connor",6,2,6,,,,,,,
"Gunston, Jack",6,1,1,,,,2,,,
"Morris, Josh",4,1,2,,1,,5,3,,
,4654,2053,3688,239,145,797,1327,406,408,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Oliver, Clayton",358,89,431,11,18,,136,43,46,
"Petracca, Christian",409,126,321,29,19,,103,23,29,
"Salem, Christian",405,145,203,3,2,,58,14,18,
"Langdon, Ed",315,130,209,13,9,,45,15,8,
"Gawn, Max",316,131,147,16,17,804,71,33,34,
"Brayshaw, Angus",274,105,186,3,7,,61,12,19,
"Neal-Bullen, Alex",255,80,153,15,11,,111,30,19,
"May, Steven",339,125,61,,2,,24,14,17,
"Lever, Jake",242,136,147,,1,,44,23,23,
"Rivers, Trent",241,101,137,1,1,,39,7,14,
"Harmes, James",152,52,222,7,10,,94,20,24,
"Jordon, James",178,64,185,6,6,,97,18,9,
"Viney, Jack",162,37,173,4,7,,106,30,18,
"McDonald, Tom",217,122,105,33,22,30,51,22,26,
"Jackson, Luke",107,72,201,16,9,255,48,24,11,
"Pickett, Kysaiah",193,59,103,40,28,,87,20,21,
"Spargo, Charlie",195,84,92,18,16,,59,26,16,
"Hunt, Jayden",179,64,95,2,3,,49,16,19,
"Fritsch, Bayley",190,116,54,59,24,,47,18,21,
"Hibberd, Michael",127,58,100,,,,35,16,10,
"Sparrow, Tom",102,40,84,7,4,,57,13,15,
"Petty, Harry",107,68,54,,,,31,11,17,
"Brown, Ben",102,69,24,25,13,13,20,11,6,
"Bowey, Jake",61,23,58,,,,5,1,7,
"Melksham, Jake",58,25,49,8,4,,18,3,10,
"Jones, Nathan",50,23,45,2,3,,12,3,4,
"Tomlinson, Adam",61,38,23,,,,9,2,6,
"Jetta, Neville",20,13,20,,,,7,4,2,
"Weideman, Sam",19,16,21,3,4,1,9,3,1,
"Vandenberg, Aaron",18,3,9,,,,8,,4,
"Smith, Joel",11,9,9,,,,4,1,2,
"Baker, Oskar",12,5,3,,,,4,,,
"Brown, Mitch",8,6,2,2,2,,3,1,1,
"Chandler, Kade",1,,3,,,,2,,2,
,5484,2234,3729,323,242,1103,1554,477,479,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Simpkin, Jy",325,96,267,2,5,,84,34,28,
"Hall, Aaron",423,150,135,2,6,,45,8,4,
"Ziebell, Jack",426,155,104,2,,,40,17,14,
"Davies-Uniacke, Luke",229,97,211,6,12,,64,11,27,
"Cunnington, Ben",203,62,199,9,8,,74,30,31,
"Thomas, Tarryn",233,96,149,24,17,,72,29,19,
"Stephenson, Jaidyn",249,109,119,17,19,,48,16,10,
"Atley, Shaun",190,107,154,1,1,,26,14,7,
"Goldstein, Todd",160,80,154,12,4,655,42,35,25,
