Team,Player  ,Pos. ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,FANTASY_POINTS
ADE,"Himmelberg, Elliott",FWD,1.909090909,1.136363636,1.318181818,0.363636364,0.272727273,0.636363636,0.363636364,0.454545455,0.318181818,
ADE,"Cook, Brayden",MID,1,0.272727273,0.909090909,0,0,0,0.136363636,0,0.045454545,
ADE,"Davis, Ben",FWD,0.909090909,0.454545455,0.681818182,0,0,0,0.136363636,0.136363636,0.045454545,
ADE,"Hately, Jackson",MID,0.818181818,0.318181818,0.772727273,0,0.090909091,0,0.545454545,0.045454545,0.045454545,
BRIS,"Lyons, Jarryd",MID,17.95454545,5.409090909,12.68181818,0.454545455,0.318181818,0,7,1.727272727,0.5,
BRIS,"Rich, Daniel",DEF,23.36363636,6.227272727,5,0.136363636,0.454545455,0,1.909090909,0.545454545,0.5,
BRIS,"McCluggage, Hugh",MID,18.5,5.590909091,8.772727273,0.681818182,1,0,4.045454545,1.045454545,1.045454545,
BRIS,"Zorko, Dayne",MID,17.54545455,5.545454545,7.681818182,0.772727273,0.818181818,0,6.363636364,1.409090909,1.818181818,
BRIS,"Neale, Lachie",MID,10,3,10.86363636,0.363636364,0.272727273,0,3.181818182,1.590909091,0.772727273,
BRIS,"Bailey, Zac",FWD,12.40909091,3.5,7.590909091,1.409090909,0.818181818,0,3.090909091,0.909090909,2.045454545,
BRIS,"Robinson, Mitch",MID,13.5,4.454545455,6.045454545,0.318181818,0.318181818,0,2.909090909,1.227272727,1.045454545,
BRIS,"Birchall, Grant",DEF,13.95454545,7.227272727,5.363636364,0.090909091,0,0,1.045454545,0.136363636,0.409090909,
BRIS,"Andrews, Harris",DEF,9.954545455,8.227272727,6,0.045454545,0.045454545,0,1.318181818,0.727272727,1.136363636,
BRIS,"Daniher, Joe",FWD,11.77272727,5.318181818,3.772727273,2.090909091,1.454545455,2.227272727,1.136363636,1.363636364,1.5,
BRIS,"McCarthy, Lincoln",FWD,8.318181818,3.5,5.590909091,1.636363636,0.681818182,0,3.636363636,1.227272727,1.272727273,
BRIS,"McInerney, Oscar",RUC,7.090909091,2.409090909,6.590909091,0.272727273,0.227272727,30.54545455,2.318181818,1.772727273,1.318181818,
BRIS,"Starcevich, Brandon",MID,9.818181818,4.090909091,3.727272727,0,0,0,1.863636364,0.681818182,1.181818182,
BRIS,"Cameron, Charlie",FWD,9.045454545,4.318181818,2.818181818,2.5,1.5,0,2.409090909,0.818181818,0.863636364,
BRIS,"Adams, Marcus",DEF,7.545454545,4.181818182,3.227272727,0,0,0,1.363636364,0.590909091,0.636363636,
BRIS,"Robertson, Deven",MID,5,2.409090909,4.545454545,0.181818182,0.090909091,0,3.045454545,0.454545455,0.409090909,
BRIS,"Ah Chee, Callum",MID,4.681818182,1.590909091,4.363636364,0.318181818,0,0,2.636363636,0.227272727,0.818181818,
BRIS,"Lester, Ryan",MID,5.090909091,3.272727273,3.909090909,0.045454545,0,0,1.454545455,0.454545455,0.545454545,
BRIS,"McStay, Daniel",FWD,5.454545455,4,3.227272727,1.272727273,0.454545455,0.363636364,2.636363636,0.863636364,0.409090909,
BRIS,"Hipwood, Eric",FWD,5.363636364,3.590909091,2.318181818,1.181818182,0.909090909,0,0.909090909,0.545454545,0.772727273,
BRIS,"Mathieson, Rhys",MID,3.818181818,1.636363636,3.863636364,0.090909091,0.090909091,0,1.772727273,0.363636364,0.681818182,
BRIS,"Coleman, Keidean",FWD,4.045454545,2,3.318181818,0.272727273,0.227272727,0,1.454545455,0.727272727,0.5,
BRIS,"Prior, Jaxon",MID,5.272727273,2.045454545,2,0.272727273,0.181818182,0,1.090909091,0.5,0.227272727,
BRIS,"Berry, Jarrod",MID,3.409090909,1.090909091,2.863636364,0.227272727,0.090909091,0,1.545454545,0.636363636,0.681818182,
BRIS,"Fullarton, Tom",RUC,2.363636364,1,3.318181818,0.136363636,0.045454545,1.909090909,0.954545455,0.227272727,0.227272727,
BRIS,"Payne, Jack",MID,3.318181818,2.227272727,2.090909091,0,0,0,0.727272727,0.090909091,0.227272727,
BRIS,"Gardiner, Darcy",DEF,2.772727273,1.545454545,1.727272727,0,0,0,0.181818182,0.272727273,0.5,
BRIS,"Madden, James",MID,2.227272727,1.136363636,2.272727273,0.045454545,0,0,0.727272727,0.363636364,0.090909091,
