PLAYER,K,H,M,T,FF,FA,HO,G,B,GA,D,ED,IED,I50,R50,CL,SP,CP,UCP,CM,FD,CS
Jordon Butts,6.9,3.6,3.9,1.4,1,0.8,0,0,0,0,10.5,8.6,1.9,0.6,3,0,5.5,3.7,6.8,0.5,0.3,2
Leo Connolly,8,4,3.1,0.6,0.1,0.4,0,0.1,0.1,0.1,12,9,3,1.3,1.9,0.3,0.6,2.3,9.3,0.1,-0.3,2
Will Phillips,5.1,5.8,2.2,2.3,0.5,0.4,0,0.2,0.3,0.2,10.9,7.7,3.1,1.3,0.2,1.4,0.1,4.5,6.7,0.1,0.1,1.5
Elliott Himmelberg,5.3,3.6,3.1,1,1.3,0.9,1.8,1,0.8,0.3,8.9,5.5,3.4,1.9,0.1,0.1,1.5,6.5,3.4,1.8,0.4,2.3
Darcy Gardiner,7.7,4.3,4.4,0.4,0.6,1.3,0,0,0,0.1,12,8.9,3.1,0.3,1.9,0,2.6,5.1,6.9,1,-0.7,2.4
Lachlan McNeil,5.5,4.6,1.9,2.2,0.6,0.6,0,0.6,0.7,0.4,10.1,6.4,3.7,1.9,0,0.2,0.7,4.5,5.9,0.2,0,2.1
Jake Riccardi,6.3,5.3,3.4,0.4,0.3,0.1,0.3,0.3,0.1,0.3,11.6,8.1,3.4,1,0.4,0.1,0.4,3.3,8.3,0.3,0.1,1.4
Logan McDonald,5.4,3,3.1,0.9,1.1,0.4,0,1.3,0.7,0.9,8.4,5.4,3,1.3,0.4,0,1,3.9,4.9,0.3,0.7,1.1
Finlay Macrae,5,7.8,2.9,1,0.2,0.3,0,0.1,0,0.2,12.8,9.3,3.4,1.9,0.2,1.1,0,4.2,8.4,0,-0.1,1.7
Tyler Brockman,4.7,4.2,2.5,2.1,0.2,0.5,0,0.9,0.4,0.5,8.9,5.8,3.1,1.3,0.1,0.5,0.3,3.4,5.4,0.3,-0.3,2.3
Sam Berry,3.5,5.5,1.6,4.1,0.7,1,0,0.3,0.5,0.4,9,6.3,2.7,1.6,0.2,0.9,0.3,5.2,4.5,0.2,-0.3,1.8
Harrison Jones,4.8,2.5,3.6,1.3,0.4,0.4,0.3,1.3,0.4,0.4,7.3,5.8,1.6,1.3,0,0.1,0.8,3.4,4.1,1.1,0.1,1
Josh Treacy,4.7,3,3.4,2.1,0.7,0.9,0.5,0.9,0.7,0.1,7.7,4.9,2.8,1.3,0.1,0.1,0.6,4.1,3.7,1,-0.2,2.3
Charlie Lazzaro,5.5,4.1,2.6,2.1,0.6,0.3,0,0.3,0.3,0.3,9.6,6.4,3.2,1.9,0.8,0.5,0.5,2.6,7.6,0.1,0.3,2.2
Phil Davis,6.1,4.1,4.3,1.4,0.9,1.1,0,0,0,0.1,10.2,8.9,1.3,0.5,1.9,0,3.6,3.7,6.4,0.7,-0.2,2.1
Brodie Kemp,7,2.5,4,1.5,0,0.5,0,0,0,0,9.5,4.5,5,1,2,0,6.5,0.5,9,0,-0.5,3
Riley Garcia,6.3,5.1,1.6,1.9,0.7,0.9,0,0.4,0.3,0.6,11.4,7.7,3.8,2.4,0.3,0.8,0.3,5.3,6,0.1,-0.2,2.3
Will Martyn,7,6,3,1.5,0,2,0,0,0,0,13,8.5,4.5,1.5,0,1.5,0,4.5,10.5,0,-2,4
Jamarra Ugle-Hagan,5,2,2.8,1.6,0.6,0.4,0,1.4,0.4,0.2,7,4.2,2.8,1.2,0,0.2,0.4,3,4.4,0.6,0.2,2.6
Brandon Zerk-Thatcher,6,4,3.7,1.8,0.5,1,0.2,0,0,0,10,8.5,1.5,0.2,2.5,0.5,3,2.2,7.5,0.3,-0.5,2.2
Tom Fullarton,4.4,6.2,2,1.5,0.4,0.4,3.7,0.2,0.1,0.5,10.6,7.6,3,1.1,0.4,1.6,1,5.1,5.3,0.5,0,1.4
Lloyd Meek,2.3,6.4,1.3,1.6,0.7,1.4,14.2,0.1,0.2,0,8.8,5.9,2.9,0.6,0.1,2.3,1.8,6.7,3,0.7,-0.8,3.3
Beau McCreery,4.3,2.5,2,3.6,0.3,1,0,0.9,0.5,0.2,6.8,4.2,2.7,1.8,0,0.2,0.3,2.3,4.8,0.1,-0.8,2.3
Callum Ah Chee,5.2,4.8,1.7,2.9,0.3,0.9,0,0.4,0,0.4,10,7.2,2.8,1.7,0.6,0.6,1.1,4.9,5.2,0.3,-0.7,2
Anthony Scott,4.8,5.2,1.8,1.9,0.9,0.2,0,0.5,0.4,0.3,10,7.6,2.4,1.7,0.4,0.7,0.2,5,5.8,0.3,0.7,1.2
Sam Weideman,3.8,4.2,3.2,1.8,0.6,0.2,0.2,0.6,0.8,0.4,8,4,4,0.8,0,0,0.8,4.6,3.2,1,0.4,1.8
Keidean Coleman,5,4.2,2.6,1.9,0.9,0.6,0,0.4,0.4,0.4,9.2,7,2.2,1.3,0.4,0.6,0.8,4.2,5.1,0.4,0.3,1.4
Bailey Banfield,4.8,4.5,2,2.3,0.5,1,0,0.7,0.3,0.5,9.3,7,2.3,1.2,1,1.2,0.3,4.5,5.3,0,-0.5,2
Ben McKay,4.5,5,4.3,1.4,0.6,0.8,0,0,0,0,9.5,8.5,1.1,0.4,1.6,0.1,6.3,3.2,6.2,0.9,-0.1,1.4
Colin O'Riordan,6.5,3.3,3,1.3,0.5,0,0,0,0,0.5,9.8,7.3,2.5,1.3,0.3,0,1.5,3.8,5.3,0.5,0.5,1
James Bell,4.1,4.5,2.6,2.8,0.8,0.5,0,0.1,0.1,0.3,8.6,6.4,2.3,1.3,0.1,0.5,0,3.4,5.4,0.4,0.3,1.5
Nick Murray,7,2,2.9,1.8,1.3,1,0.1,0.1,0.1,0,9,7.2,1.8,0.9,2.9,0.1,7.3,4.2,4.6,0.6,0.3,2
Harrison Petty,5.9,2.7,3.8,1.6,0.6,0.9,0,0,0,0.1,8.6,7.1,1.6,0.3,2,0.1,4.9,4.2,4.8,0.8,-0.3,1.9
Tom Wilson,6.3,5.8,1.8,1.8,0.3,1.3,0,0,0,0,12,8.3,3.8,0.5,2,0.8,0.8,3.3,9,0.3,-1,3
Rory Atkins,5.9,5.1,2,1.1,0,0.4,0,0.3,0.3,0.5,11,9.3,1.8,2.4,0.6,1,0.3,3.1,8.3,0,-0.4,1.3
Conor Stone,5,4,2.3,1.7,0.3,0,0,0.3,0,0,9,7,2,1.7,0.7,0,0.3,3,5.7,0,0.3,1
Will Hamill,5.5,4.6,1.6,2.1,1.1,0.5,0,0,0,0.1,10.2,7.2,3,0.8,1.4,0.4,0.9,4.6,5.6,0.2,0.6,1.6
Denver Grainger-Barras,5,2.4,3.4,2.2,0.6,0.4,0,0,0,0.2,7.4,6,1.4,0.4,1.6,0.4,4,2.2,5.4,0.2,0.2,1.4
Connor Blakely,4.5,6,2.7,1,0.7,0.5,0,0.1,0.2,0.4,10.5,8.6,1.9,1.4,0.5,1.2,0.2,4.1,6.8,0,0.3,0.8
