Playerÿÿ,Games,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Sharp, Jeremy",9,113,53,52,2,3,,7,6,4,
"Macpherson, Darcy",11,98,48,60,1,6,,43,9,10,
"Farrar, Jy",10,90,56,55,,,,14,1,5,
"Corbett, Josh",16,101,78,41,23,11,4,12,13,12,
"Atkins, Rory",8,47,16,41,2,2,,9,,3,
"Graham, Caleb",12,52,42,33,,1,82,8,3,10,
"Smith, Zac",9,27,10,54,3,,191,23,14,15,
"Brodie, Will",5,25,7,39,,1,,8,3,3,
"Harbrow, Jarrod",4,50,27,10,,1,,7,2,3,
"Day, Sam",6,26,23,27,3,4,23,17,4,5,
"Witts, Jarrod",3,24,9,17,,1,87,8,6,1,
"Budarick, Connor",2,19,11,9,,,,4,1,3,
"Jeffrey, Joel",4,19,6,6,2,4,,4,1,2,
"Townsend, Jacob",2,15,8,9,3,,3,5,2,6,
"Rosas, Malcolm",4,14,5,5,,4,,6,1,2,
"Davies, Alex",1,5,2,11,,2,,6,,2,
,,4978,2309,2871,201,180,580,1366,406,422,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Taranto, Tim",24,372,118,265,13,13,,128,26,23,
"Hopper, Jacob",23,311,72,296,10,7,,88,29,39,
"Kelly, Josh",23,333,82,268,16,15,,128,23,17,
"Ward, Callan",24,278,90,267,15,5,5,71,34,24,
"Cumming, Isaac",24,372,131,153,1,4,,56,12,18,
"Whitfield, Lachie",17,283,107,142,3,1,,41,15,11,
"Perryman, Harry",18,268,92,132,4,5,,39,12,6,
"Ash, Lachie",23,265,111,127,1,1,,63,6,10,
"Haynes, Nick",21,253,156,120,1,1,,17,14,13,
"Green, Tom",18,139,55,221,7,6,1,53,19,15,
"Greene, Toby",18,232,78,77,45,41,2,39,33,29,
"Himmelberg, Harry",24,194,108,107,36,19,5,46,22,21,
"Idun, Connor",23,173,124,114,,,,41,15,11,
"Taylor, Sam",19,164,116,109,,,,39,22,8,
