Ben King,GCS,FWD,50.9,439
Connor West,WCE,FWD,50.8,440
Harry Edwards,WCE,DEF,50.8,441
Mason Cox,COL,FWD,50.6,442
Charlie Curnow,CAR,FWD,50.5,443
Lachlan Keeffe,GWS,DEF,50.5,444
Sam Day,GCS,FWD,50.5,445
Paddy Dow,CAR,MID,50.4,446
Eddie Ford,NTH,FWD,50.3,447
Archie Perkins,ESS,FWD,50.2,448
Sean Lemmens,GCS,DEF,50.2,449
Tom Sparrow,MEL,MID/FWD,50.2,450
Jarrod Berry,BRL,MID,50.1,451
Lewis Young,CAR,DEF/RUC,50.1,452
Lachlan Gollant,ADE,FWD,50,453
Tyler Brown,COL,MID,50,454
Brandon Starcevich,BRL,DEF,49.9,455
Jack Buckley,GWS,DEF,49.9,456
Kayne Turner,NTH,DEF,49.9,457
Shane McAdam,ADE,FWD,49.9,458
Jake Aarts,RIC,FWD,49.8,459
Lachie Jones,PTA,DEF,49.8,460
Ned McHenry,ADE,FWD,49.8,461
Ryan Lester,BRL,DEF,49.7,462
David Cuningham,CAR,MID/FWD,49.5,463
Josh Honey,CAR,FWD,49.3,464
Nakia Cockatoo,BRL,FWD,49.3,465
Jack Bytel,STK,MID,49.2,466
Luke Foley,WCE,DEF,49.2,467
Jacob Koschitzke,HAW,FWD,49.1,468
Mark Keane,COL,DEF,49,469
James Stewart,ESS,DEF,48.7,470
Levi Casboult,GCS,FWD,48.6,471
Lachlan Murphy,ADE,FWD,48.5,472
Atu Bosenavulagi,NTH,DEF,48.4,473
Griffin Logue,FRE,DEF,48.4,474
Bobby Hill,GWS,FWD,48.3,475
Jamaine Jones,WCE,FWD,48.3,476
Chayce Jones,ADE,DEF,48.2,477
Jack Petruccelle,WCE,FWD,48.2,478
Jason Johannisen,WBD,FWD,48.2,479
Lachie Plowman,CAR,DEF,48.1,480
Zach Sproule,GWS,FWD,47.6,481
Aaron Francis,ESS,DEF,47.4,482
Ben Long,STK,DEF/FWD,47.4,483
Robbie Fox,SYD,DEF,47.4,484
Lewis Melican,SYD,DEF,47.2,485
Kane Farrell,PTA,MID/FWD,47.1,486
Billy Frampton,ADE,FWD,47,487
Tom Williamson,CAR,DEF,47,488
Xavier O'Neill,WCE,MID/FWD,46.9,489
Jack Ginnivan,COL,FWD,46.8,490
Zac Langdon,WCE,FWD,46.8,491
Trey Ruscoe,COL,DEF,46.7,492
Roarke Smith,WBD,MID,46.6,493
Darcy Fogarty,ADE,FWD,46.3,494
Oliver Henry,COL,FWD,46.2,495
Brennan Cox,FRE,DEF,46,496
Louis Butler,WBD,MID,46,497
Stefan Martin,WBD,RUC,46,498
Nathan Murphy,COL,MID,45.9,499
Esava Ratugolea,GEE,RUC/FWD,45.7,500
Mitch Wallis,WBD,FWD,45.3,501
Thomson Dow,RIC,MID/FWD,45.2,502
Nathan Kreuger,COL,DEF,45,503
Jaxon Prior,BRL,MID,44.9,504
Brandon Walker,FRE,DEF,44.8,505
Zaine Cordy,WBD,DEF,44.5,506
Jake Melksham,MEL,FWD,44.4,507
Rhyan Mansell,RIC,DEF,44.4,508
Brayden Cook,ADE,MID,44.3,509
Laitham Vandermeer,WBD,FWD,44.3,510
Aiden Bonar,NTH,DEF,43.8,511
James Madden,BRL,DEF,43.8,512
Mitch Crowden,FRE,FWD,43.7,513
Jordon Butts,ADE,DEF,43.6,514
Leo Connolly,STK,DEF,43.6,515
Will Phillips,NTH,MID/FWD,43.6,516
Elliott Himmelberg,ADE,FWD,43.5,517
Darcy Gardiner,BRL,DEF,43.4,518
Jake Riccardi,GWS,MID/FWD,43.4,519
Lachlan McNeil,WBD,FWD,43.4,520
