Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
GEEL,"Smith, Isaac",MID,383,166,167,15,9,0,38,8,10,
GEEL,"Menegola, Sam",MID,324,125,209,12,12,0,52,11,24,
GEEL,"Tuohy, Zach",DEF,326,112,155,11,8,0,26,9,17,
GEEL,"Stewart, Tom",DEF,378,178,102,0,3,0,21,16,13,
GEEL,"Parfitt, Brandan",MID,225,32,207,8,7,0,128,35,29,
GEEL,"Atkins, Tom",DEF,207,84,169,0,1,0,75,9,27,
GEEL,"Dangerfield, Patrick",MID,212,71,159,8,7,0,53,28,22,
GEEL,"Bews, Jed",DEF,219,116,125,3,2,0,50,17,15,
GEEL,"Hawkins, Tom",FWD,215,129,127,62,37,92,50,14,35,
GEEL,"Henry, Jack",DEF,217,150,119,7,2,10,43,17,8,
GEEL,"Higgins, Shaun",FWD,157,80,177,4,12,0,49,11,13,
GEEL,"Blicavs, Mark",DEF,164,94,166,5,0,283,67,32,23,
GEEL,"Duncan, Mitch",FWD,200,98,115,8,2,0,33,16,5,
GEEL,"Close, Brad",FWD,132,61,159,15,10,0,72,25,8,
GEEL,"Stanley, Rhys",RUC,152,74,129,8,5,391,33,26,21,
GEEL,"Kolodjashnij, Jake",DEF,165,120,104,1,0,0,27,7,15,
GEEL,"Dahlhaus, Luke",FWD,103,41,150,7,15,0,79,18,19,
GEEL,"Miers, Gryan",FWD,130,58,102,12,7,0,23,12,4,
GEEL,"Narkle, Quinton",MID,86,37,129,4,4,0,25,3,6,
GEEL,"Rohan, Gary",FWD,147,75,67,32,18,0,41,22,14,
GEEL,"OConnor, Mark",MID,111,48,95,1,0,0,40,11,13,
GEEL,"Cameron, Jeremy",FWD,118,57,57,39,16,0,16,17,13,
GEEL,"Guthrie, Zach",FWD,120,51,40,0,1,0,32,7,4,
GEEL,"Holmes, Max",FWD,54,24,64,1,7,0,32,3,4,
GEEL,"Ratugolea, Esava",RUC,63,32,52,11,5,93,30,18,13,
GEEL,"Clark, Jordan",DEF,61,26,52,3,2,0,22,2,7,
GEEL,"Simpson, Sam",MID,28,13,25,2,2,0,8,4,3,
GEEL,"Constable, Charlie",MID,21,13,16,1,0,0,3,1,1,
GEEL,"Kreuger, Nathan",RUC,11,7,4,0,0,0,8,2,2,
GEEL,"De Koning, Sam",RUC,7,3,1,0,2,1,0,0,2,
GCS,"Miller, Touk",MID,334,95,334,8,8,1,149,35,26,
GCS,"Swallow, David",MID,258,106,202,6,7,0,99,16,24,
GCS,"Anderson, Noah",MID,264,83,189,0,6,0,60,11,19,
GCS,"Lukosius, Jack",DEF,382,172,60,3,11,0,32,13,20,
GCS,"Ellis, Brandon",MID,273,130,150,5,2,0,47,11,17,
GCS,"Bowes, Jack",DEF,307,97,97,1,2,0,38,10,15,
GCS,"Powell, Wil",DEF,259,115,132,1,1,0,54,21,14,
GCS,"Ballard, Charlie",DEF,227,140,61,0,0,0,25,20,16,
GCS,"Markov, Oleg",DEF,193,107,90,1,4,0,38,6,5,
GCS,"Lemmens, Sean",DEF,196,76,72,0,0,0,44,12,31,
GCS,"Greenwood, Hugh",MID,153,25,110,6,6,8,130,16,7,
GCS,"Ainsworth, Ben",FWD,187,90,74,12,18,0,35,14,14,
GCS,"Weller, Lachie",FWD,137,71,104,7,3,0,44,5,8,
GCS,"Fiorini, Brayden",MID,133,52,101,2,2,0,47,7,6,
GCS,"Collins, Sam",DEF,152,119,78,0,0,0,32,18,20,
GCS,"Sexton, Alex",FWD,167,87,50,21,14,0,23,14,7,
GCS,"Rankine, Izak",FWD,120,51,92,16,11,0,46,16,28,
GCS,"Holman, Nick",MID,111,67,94,10,5,0,72,15,15,
GCS,"Flanders, Sam",FWD,96,46,93,4,5,0,62,22,8,
GCS,"King, Ben",FWD,126,90,54,47,25,4,17,18,11,
GCS,"Burgess, Chris",RUC,112,67,62,10,10,177,42,16,12,
GCS,"Rowell, Matt",MID,66,22,103,2,0,0,49,24,13,
GCS,"Sharp, Jeremy",FWD,113,53,52,2,3,0,7,6,4,
GCS,"Macpherson, Darcy",FWD,98,48,60,1,6,0,43,9,10,
GCS,"Farrar, Jy",DEF,90,56,55,0,0,0,14,1,5,
GCS,"Corbett, Josh",FWD,101,78,41,23,11,4,12,13,12,
GCS,"Atkins, Rory",MID,47,16,41,2,2,0,9,0,3,
GCS,"Brodie, Will",FWD,25,7,39,0,1,0,8,3,3,
GCS,"Day, Sam",FWD,26,23,27,3,4,23,17,4,5,
GCS,"Witts, Jarrod",RUC,24,9,17,0,1,87,8,6,1,
GWS,"Taranto, Tim",FWD,372,118,265,13,13,0,128,26,23,
GWS,"Hopper, Jacob",MID,311,72,296,10,7,0,88,29,39,
GWS,"Kelly, Josh",MID,333,82,268,16,15,0,128,23,17,
GWS,"Ward, Callan",MID,278,90,267,15,5,5,71,34,24,
GWS,"Cumming, Isaac",DEF,372,131,153,1,4,0,56,12,18,
GWS,"Whitfield, Lachie",DEF,283,107,142,3,1,0,41,15,11,
GWS,"Perryman, Harry",DEF,268,92,132,4,5,0,39,12,6,
GWS,"Ash, Lachie",DEF,265,111,127,1,1,0,63,6,10,
GWS,"Haynes, Nick",DEF,253,156,120,1,1,0,17,14,13,
GWS,"Green, Tom",MID,139,55,221,7,6,1,53,19,15,
GWS,"Greene, Toby",FWD,232,78,77,45,41,2,39,33,29,
GWS,"Himmelberg, Harry",FWD,194,108,107,36,19,5,46,22,21,
GWS,"Idun, Connor",DEF,173,124,114,0,0,0,41,15,11,
GWS,"Taylor, Sam",DEF,164,116,109,0,0,0,39,22,8,
GWS,"Lloyd, Daniel",FWD,140,68,63,20,8,0,45,8,19,
GWS,"OHalloran, Xavier",MID,124,42,56,5,3,0,22,10,8,
GWS,"Daniels, Brent",FWD,91,22,86,2,4,0,35,12,4,
GWS,"Buckley, Jack",DEF,112,68,57,0,2,1,34,7,17,
GWS,"de Boer, Matt",MID,66,34,94,2,2,0,40,5,7,
GWS,"Hill, Bobby",FWD,113,33,41,14,12,0,48,10,4,
GWS,"Flynn, Matt",RUC,55,46,87,5,2,222,30,16,9,
GWS,"Mumford, Shane",RUC,44,19,98,4,0,364,68,27,26,
GWS,"Finlayson, Jeremy",FWD,106,40,35,23,9,24,15,14,11,
GWS,"Kennedy, Adam",DEF,72,35,59,1,1,0,20,5,5,
GWS,"Reid, Sam",FWD,64,25,58,4,4,0,35,7,15,
GWS,"Hogan, Jesse",FWD,74,57,41,20,9,0,11,6,7,
GWS,"Davis, Phil",DEF,64,47,47,0,0,0,16,10,14,
GWS,"Coniglio, Stephen",FWD,61,14,42,1,4,0,27,7,3,
GWS,"Bruhn, Tanner",FWD,56,16,45,4,4,0,33,8,5,
GWS,"Sproule, Zach",FWD,55,27,31,11,5,14,26,9,15,
GWS,"Riccardi, Jake",FWD,44,24,37,2,1,2,3,2,1,
GWS,"Keeffe, Lachlan",DEF,57,37,22,1,0,19,16,4,5,
GWS,"Briggs, Kieren",RUC,23,9,26,2,0,85,22,8,6,
GWS,"Peatling, James",DEF,27,15,15,0,0,0,6,4,4,
HAW,"Mitchell, Tom",MID,321,98,433,8,5,0,105,24,29,
HAW,"OMeara, Jaeger",MID,232,74,241,5,9,0,91,16,31,
HAW,"Shiels, Liam",MID,244,93,200,5,4,0,99,16,31,
HAW,"Worpel, James",MID,232,54,194,10,8,0,82,15,27,
HAW,"Hardwick, Blake",DEF,312,108,106,0,2,0,41,22,10,
HAW,"Scrimshaw, Jack",DEF,249,127,163,4,2,0,29,8,3,
HAW,"Phillips, Tom",MID,241,93,165,13,5,0,47,23,6,
HAW,"Howe, Daniel",MID,249,109,124,8,5,0,40,18,17,
HAW,"Wingard, Chad",FWD,199,58,158,12,11,0,61,19,8,
HAW,"Frost, Sam",DEF,194,112,139,0,0,3,44,7,31,
HAW,"Jiath, Changkuoth",DEF,172,93,152,0,2,0,26,18,22,
HAW,"Moore, Dylan",FWD,160,76,147,27,11,0,58,27,9,
HAW,"Impey, Jarman",FWD,181,70,107,2,0,0,33,16,4,
HAW,"McEvoy, Ben",RUC,135,111,140,12,8,370,78,28,14,
HAW,"Breust, Luke",FWD,121,47,117,33,11,0,62,12,13,
HAW,"Morrison, Harry",FWD,124,67,107,7,2,0,34,7,14,
HAW,"OBrien, Tim",FWD,147,90,72,12,5,12,32,18,16,
HAW,"Hartigan, Kyle",DEF,106,66,95,0,0,2,16,15,28,
HAW,"Bramble, Lachlan",DEF,119,44,64,1,3,0,20,7,3,
HAW,"Ceglar, Jonathon",RUC,67,53,113,2,2,249,26,10,16,
HAW,"Koschitzke, Jacob",FWD,98,77,65,27,19,1,37,13,7,
HAW,"Lewis, Mitch",FWD,91,67,51,22,9,29,28,13,10,
HAW,"Day, Will",DEF,55,25,44,0,0,0,8,5,7,
HAW,"Brockman, Tyler",FWD,52,27,46,10,4,0,23,2,6,
HAW,"Greaves, Damon",FWD,48,16,26,1,0,0,12,6,2,
HAW,"Newcombe, Jai",MID,32,17,30,1,1,0,39,4,8,
HAW,"Grainger-Barras, Denver",DEF,25,17,12,0,0,0,11,3,2,
HAW,"Jeka, Emerson",FWD,13,7,13,2,2,0,4,1,0,
HAW,"Maginness, Finn",MID,5,1,10,0,0,0,5,1,1,
HAW,"Downie, Connor",MID,6,2,6,0,0,0,0,0,0,
HAW,"Gunston, Jack",FWD,6,1,1,0,0,0,2,0,0,
MEL,"Oliver, Clayton",MID,358,89,431,11,18,0,136,43,46,
MEL,"Petracca, Christian",MID,409,126,321,29,19,0,103,23,29,
